name,price
Xiaomi Note 14 Pro 4G 256GB,"$949.990,00"
Xiaomi Note 14 Pro Plus 5G 256GB,"$1.449.990,00"
Xiaomi Note 14 Pro Plus 5G 512GB,"$1.719.990,00"
Xiaomi Redmi 10A 32GB Nuevo,"$349.990,00"
Xiaomi Redmi 10C 64GB Nuevo,"$629.990,00"
Xiaomi Redmi 14C 256GB,"$489.990,00"
Xiaomi Redmi A5 64GB Nuevo,"$369.990,00"
Xiaomi Redmi Buds 6 Active,"$94.990,00"
Xiaomi Redmi Note 13 256GB,"$749.990,00"
Xiaomi Redmi Note 14 128GB,"$599.990,00"
Xiaomi Redmi Note 14S 256GB,"$819.990,00"
Xiaomi Redmi Pad SE 256GB,"$749.990,00"
Xiaomi Redmi Watch 5 Active,"$159.990,00"
